%Frame Number	x (image)	y (image)	x (world)	y (world)	Area	Orientation	Compactness	TimeStamp (ms)
0	96.0303	79.9091	0	0	22	-0.755391	0.47409	0033
1	95.0259	80.6185	0	0	22.5	-0.653978	0.462165	0066
2	94.3726	80.8824	0	0	17	-0.50231	0.312433	0100
3	92.2132	80.8798	0	0	21.5	-0.450104	0.327205	0133
4	92.3333	80.925	0	0	20	-0.46296	0.31718	0166
5	91.2121	81.1061	0	0	22	-0.498103	0.404325	0200
6	89.0965	82.1053	0	0	19	-0.473513	0.372419	0233
7	87.8533	81.8067	0	0	25	-0.359017	0.42089	0266
8	87.8101	81.8256	0	0	21.5	-0.42992	0.441624	0300
9	88	82	0	0	22	-0.462038	0.460895	0333
10	88.0528	81.8984	0	0	20.5	-0.448579	0.383849	0367
11	88.4048	81.6746	0	0	21	-0.494198	0.485273	0400
12	88.9444	81.4596	0	0	16.5	-0.603673	0.432121	0433
13	89.8048	81.319	0	0	17.5	-0.650573	0.45831	0467
14	89.9775	81.4369	0	0	18.5	-0.654496	0.484499	0500
15	89.9775	81.4369	0	0	18.5	-0.654496	0.484499	0533
16	89.8048	81.319	0	0	17.5	-0.650573	0.45831	0567
17	89.8248	81.4829	0	0	19.5	-0.668042	0.474138	0600
18	89.6053	81.6053	0	0	19	-0.714987	0.439057	0633
19	89.4365	81.6667	0	0	21	-0.723471	0.452541	0667
20	89.4365	81.6667	0	0	21	-0.723471	0.452541	0700
21	89.3095	81.6825	0	0	21	-0.739747	0.452541	0734
22	89.3095	81.6825	0	0	21	-0.739747	0.452541	0767
23	89.3095	81.6825	0	0	21	-0.739747	0.452541	0800
24	89.6304	81.4638	0	0	23	2.32831	0.49564	0834
25	90.0674	81.7624	0	0	23.5	2.11969	0.451918	0867
26	90.2075	81.6905	0	0	24.5	2.06528	0.471149	0900
27	89.9043	82.7837	0	0	23.5	1.85731	0.440023	0934
28	89.727	83.8759	0	0	23.5	1.82409	0.440023	0967
29	89.7941	83.5719	0	0	25.5	1.82933	0.448332	1001
30	89.8403	83.7083	0	0	24	1.8098	0.470424	1034
31	89.5227	84.7424	0	0	22	1.68384	0.419764	1067
32	89.7381	85.5159	0	0	21	1.46621	0.471297	1101
33	90.0227	85.7045	0	0	22	1.34489	0.419764	1134
34	90.6746	86.4683	0	0	21	1.22389	0.333039	1167
35	90.6746	86.4683	0	0	21	1.22389	0.333039	1201
36	91.2609	86.7464	0	0	23	1.01293	0.422703	1234
43	93.0597	88.2044	0	0	26.5	0.866199	0.413109	1468
44	93.5993	88.6631	0	0	23.5	0.774945	0.451918	1501
45	93.9097	88.7361	0	0	24	0.824277	0.517189	1534
46	94.1597	88.8681	0	0	24	0.763385	0.483442	1568
47	94.1597	88.8681	0	0	24	0.763385	0.483442	1601
48	94.058	88.9638	0	0	23	0.826816	0.397134	1634
49	94.2143	88.881	0	0	21	0.864174	0.362601	1668
50	95.0039	89.4225	0	0	21.5	0.85771	0.486645	1701
51	95.9074	90.537	0	0	22.5	0.834017	0.462165	1735
52	96.6057	91.6463	0	0	20.5	0.849466	0.46401	1768
53	96.6705	91.6395	0	0	21.5	0.843257	0.486645	1801
54	97.8496	92.687	0	0	20.5	0.895587	0.46401	1835
55	98.7517	93.983	0	0	24.5	0.887806	0.471149	1868
56	98.9348	94.6087	0	0	23	0.848502	0.49564	1901
57	99.0745	95.6844	0	0	23.5	1.04875	0.451918	1935
58	98.95	96.25	0	0	20	1.11882	0.402868	1968
